level1,level2,level3,name,longitude,latitude
السودان,الجزيرة,الكاملين,مركز صحة أسرة ابو حبرة,32.82692648,15.10843084
السودان,الجزيرة,الكاملين,مركز صحة أسرة ابو روس,33.12384577,15.06772933
السودان,الجزيرة,المناقل,مركز صحة أسرة ابو رويشد ,32.77239642,13.90811875
السودان,الجزيرة,الكاملين,مركز صحة أسرة ازرق,32.97899416,15.09229979
السودان,الجزيرة,أم القرى,مركز صحة أسرة البابنوسة,33.79244286,14.26337734
السودان,الجزيرة,الكاملين,مركز صحة أسرة الباقير القدامي,32.75675386,15.37521676
السودان,الجزيرة,الكاملين,مركز صحة أسرة الباقير الوراني,32.72795046,15.401719
السودان,الجزيرة,الكاملين,مركز صحة أسرة التكلة حمد,33.147486,14.93492754
السودان,الجزيرة,الكاملين,مركز صحة أسرة التكله ابشر,33.10299343,15.17359084
السودان,الجزيرة,الكاملين,مركز صحة أسرة التكينة الحي الغربي,33.05040604,15.22195936
السودان,الجزيرة,الكاملين,مركز صحة أسرة الجديد عمران,32.80974342,15.32970244
السودان,الجزيرة,الكاملين,مركز صحة أسرة الجملون سعدانه,33.02960015,14.99477165
السودان,الجزيرة,الكاملين,مركز صحة أسرة الجميعابي,33.16305706,15.026931
السودان,الجزيرة,الكاملين,مركز صحة أسرة الحليلة الشيخ موسي,33.17274034,15.10434911
السودان,الجزيرة,الكاملين,مركز صحة أسرة الدبيب عبدالله,33.10720777,14.99617528
السودان,الجزيرة,الكاملين,مركز صحة أسرة السديرة الغربية,32.79503812,15.16983616
السودان,الجزيرة,الكاملين,مركز صحة أسرة السمير الحله,32.68969461,15.39279504
السودان,الجزيرة,المناقل,مركز صحة أسرة الطليح,33.22786577,14.14501347
السودان,الجزيرة,الكاملين,مركز صحة أسرة العديد ابو عشر,33.13989476,14.91782167
السودان,الجزيرة,المناقل,مركز صحة أسرة العقدة,32.90174092,14.61228789
السودان,الجزيرة,المناقل,مركز صحة أسرة العمارة كرم الله,32.85438627,14.33126028
السودان,الجزيرة,الكاملين,مركز صحة أسرة الفدقوبه,32.78304429,15.09921662
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 26,34.0059513,14.22429873
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 29,33.92714758,14.29729119
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 30,33.89618048,14.27205286
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 31,33.94446032,14.35706916
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 35,33.80845112,14.37293292
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 37,33.87871753,14.41737863
السودان,الجزيرة,أم القرى,مركز صحة أسرة القرية 39,33.8871872,14.44623576
السودان,الجزيرة,الكاملين,مركز صحة أسرة القلقاله,33.09530404,15.15035846
السودان,الجزيرة,أم القرى,مركز صحة أسرة الكاهلي زيدان,33.6951324,14.67023777
السودان,الجزيرة,المناقل,مركز صحة أسرة الكريمت,32.949213,14.34668658
السودان,الجزيرة,الكاملين,مركز صحة أسرة الكسمبر,33.15726785,15.10909008
السودان,الجزيرة,الكاملين,مركز صحة أسرة المسعودية,32.86458638,15.30820345
السودان,الجزيرة,الكاملين,مركز صحة أسرة المسيد الحلة,32.95043777,15.25590129
السودان,الجزيرة,الكاملين,مركز صحة أسرة النابتي,32.82692648,15.10843084
السودان,الجزيرة,المناقل,مركز صحة أسرة ام دغينه الركابية,33.03914328,14.37064374
السودان,الجزيرة,الكاملين,مركز صحة أسرة ام دقرسي شرق,33.2275061,14.98981501
السودان,الجزيرة,الكاملين,مركز صحة أسرة ام مرحي الشيخ الطيب,32.96079344,14.9796724
السودان,الجزيرة,الكاملين,مركز صحة أسرة ام مغد,33.03071452,15.24545124
السودان,الجزيرة,الكاملين,مركز صحة أسرة بت الحاج,33.04765527,15.08739009
السودان,الجزيرة,الكاملين,مركز صحة أسرة حبيبه,32.71873682,15.25986711
السودان,الجزيرة,الكاملين,مركز صحة أسرة حلة حمد,33.09125894,15.06191337
السودان,الجزيرة,الكاملين,مركز صحة أسرة حلة عباس,33.07906637,14.93108561
السودان,الجزيرة,الكاملين,مركز صحة أسرة دار السلام الجديدة,33.04090901,15.05200471
السودان,الجزيرة,أم القرى,مركز صحة أسرة رغوة باكر,33.721036,14.50789204
السودان,الجزيرة,المناقل,مركز صحة أسرة زحل,32.77200649,13.85914237
السودان,الجزيرة,المناقل,مركز صحة أسرة سرحان حي الشيخ,32.88165486,14.69628001
السودان,الجزيرة,المناقل,مركز صحة أسرة طيبه الشيخ كمال الدين,33.05650069,14.4741983
السودان,الجزيرة,المناقل,مركز صحة أسرة عبود,33.01640527,14.17176146
السودان,الجزيرة,الكاملين,مركز صحة أسرة عديد البشاقرة,33.01761663,15.15331845
السودان,الجزيرة,أم القرى,مركز صحة أسرة قرية  العين (أ,33.93297561,14.18749237
السودان,الجزيرة,أم القرى,مركز صحة أسرة قرية مهيله,33.73410967,14.37824956
السودان,الجزيرة,أم القرى,مركز صحة أسرة قرية ود نايل,33.71956984,14.61614943
السودان,الجزيرة,المناقل,مركز صحة أسرة كرري,32.74095322,13.63325201
السودان,الجزيرة,الكاملين,مركز صحة أسرة كلكول,33.17875503,15.09426232
السودان,الجزيرة,المناقل,مركز صحة أسرة كمل نومك,33.02894971,14.33186201
السودان,الجزيرة,الكاملين,مركز صحة أسرة محالج الباقير,32.75708872,15.33769031
السودان,الجزيرة,الكاملين,مركز صحة أسرة محطة المسيد,32.92445177,15.26508601
السودان,الجزيرة,المناقل,مركز صحة أسرة ود اغيبش,32.87965201,14.60479933
السودان,الجزيرة,الكاملين,مركز صحة أسرة ود الترابي,33.13278104,15.12724419
السودان,الجزيرة,الكاملين,مركز صحة أسرة ود الماجدي,33.22358186,14.97459708
السودان,الجزيرة,المناقل,مركز صحة أسرة ود سعدالله,32.90864484,14.45239621
السودان,الجزيرة,المناقل,مركز صحة أسرة ود محمود,33.13645877,14.22776632
السودان,الجزيرة,القرشي,مستشفى 24 القرشي,32.77254183,14.25106497
السودان,الجزيرة,الحصاحيصا,مستشفى ابو عشر,33.19091989,14.90206186
السودان,الجزيرة,الحصاحيصا,مستشفى ابو قوته الحي الشرقي,32.73318034,14.9311488
السودان,الجزيرة,ود مدني الكبرى,مستشفى التأهيلي,33.48583828,14.4203536
السودان,الجزيرة,الكاملين,مستشفى التكينة,33.0620615,15.21212957
السودان,الجزيرة,الكاملين,مستشفى التي,32.97446441,15.25299403
السودان,الجزيرة,المناقل,مستشفى الجاموسي,32.75999556,13.91609313
السودان,الجزيرة,الحصاحيصا,مستشفى الحصاحيصا حي المايقوما,33.2974557,14.7295404
السودان,الجزيرة,جنوب الجزيرة,مستشفى الحوش,33.49177663,14.09704284
السودان,الجزيرة,الكاملين,مستشفى السريحه,32.96723368,15.07791962
السودان,الجزيرة,ود مدني الكبرى,مستشفى الشرطة,33.5329391,14.39823061
السودان,الجزيرة,أم القرى,مستشفى الشريف يعقوب,33.7223595,14.26518179
السودان,الجزيرة,المناقل,مستشفى الطليحاب,32.949213,14.34668658
السودان,الجزيرة,القرشي,مستشفى العزازي,32.75782779,14.46929397
السودان,الجزيرة,المناقل,مستشفى العيون,32.92168155,14.54205944
السودان,الجزيرة,أم القرى,مستشفى الفعج البشير,33.58914902,14.51310248
السودان,الجزيرة,أم القرى,مستشفى القرية 23 جنوب ( غفار),33.88581793,14.21779554
السودان,الجزيرة,الكاملين,مستشفى الكاملين,33.18123347,15.0653093
السودان,الجزيرة,القرشي,مستشفى الماطوري,32.69506154,14.0952404
السودان,الجزيرة,الكاملين,مستشفى المعيلق,33.09709358,15.01346748
السودان,الجزيرة,المناقل,مستشفى المناقل,32.99806677,14.25099459
السودان,الجزيرة,ود مدني الكبرى,مستشفى النساء و التوليد,33.52875975,14.39780228
السودان,الجزيرة,أم القرى,مستشفى ام القري,33.77858648,14.43632274
السودان,الجزيرة,ود مدني الكبرى,مستشفى جراحة الاطفال,33.5314228,14.40036594
السودان,الجزيرة,الكاملين,مستشفى جياد,32.84243133,15.32259274
السودان,الجزيرة,ود مدني الكبرى,مستشفى عليا,33.53268138,14.39896321
السودان,الجزيرة,أم القرى,مستشفى عمارة البنا,33.7223595,14.26518179
السودان,الجزيرة,ود مدني الكبرى,مستشفى مدنى التعلمي,33.52572367,14.39779732
السودان,الجزيرة,المناقل,مستشفي  الشكينيبه,33.01640527,14.17176146
السودان,الجزيرة,الكاملين,مستشفي  المحريبا الفكي عمر,32.93894676,15.03616853
السودان,الجزيرة,المناقل,مستشفي  قبوجة,32.76480552,13.81333334
السودان,الجزيرة,الكاملين,مستشفي الدبيبة الدباسين,33.01711438,14.9506333
السودان,الجزيرة,الكاملين,مستشفي كاب الجداد,32.87280852,15.13201106
السودان,الجزيرة,المناقل,وحدة صحة أسرة 3 الاغر,32.8639403,13.92411101
السودان,الجزيرة,المناقل,وحدة صحة أسرة ابرق,33.01140924,14.39312484
السودان,الجزيرة,الكاملين,وحدة صحة أسرة البشاقرة غرب,33.0765202,15.20359855
السودان,الجزيرة,أم القرى,وحدة صحة أسرة الحريز,33.77449829,14.19140588
السودان,الجزيرة,الكاملين,وحدة صحة أسرة الحريق,32.87876789,15.1941244
السودان,الجزيرة,المناقل,وحدة صحة أسرة الحفاير حمد,32.69351936,14.22096105
السودان,الجزيرة,الكاملين,وحدة صحة أسرة الدبيسة العوامرة,32.70155006,15.17437496
السودان,الجزيرة,المناقل,وحدة صحة أسرة الدشينات,32.86164106,14.02928545
السودان,الجزيرة,المناقل,وحدة صحة أسرة الدقيساب,33.16741917,14.04475668
السودان,الجزيرة,المناقل,وحدة صحة أسرة الرانجوك,32.75715276,13.77254005
السودان,الجزيرة,المناقل,وحدة صحة أسرة الرضي,32.79616901,13.95756846
السودان,الجزيرة,الكاملين,وحدة صحة أسرة الريحانه 2,33.10169575,14.98785566
