Project ID,Donor,Project Name,Sub-Project Name ,Targeted area,State ,Locality ,Approx. Beneficiaries,Latitude,Longitude
CERF-01,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 18 KW Pump and  steel fence,Gazira ALMAKA,Al-Jazeera,Greater Medani Locality,"8,800",14.415751,33.557028
CERF-02,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 18KW Pump and  steel fence  , in purification station ,Al-Jazeera,Greater Medani Locality,"9,120",14.40785,33.53151
CERF-03,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for  15 KW Pump  and steel fence  ,Southern Textiles,Al-Jazeera,Greater Medani Locality,"7,360",14.36291,33.52989
CERF-04,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW pump and   steel fence , Dardak Nasser neighborhood,Al-Jazeera,Greater Medani Locality,"4,480",14.414554,33.549667
CERF-05,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system 7.5 KW pump and  steel fence ,Elrian  ,Al-Jazeera,Greater Medani Locality,"4,160",14.44675,33.56203
CERF-06,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system 11Kwpump and   steel fence , Northern Textile District,Al-Jazeera,Greater Medani Locality,"6,880",14.36575,33.52997
CERF-07,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system 11 kw pump and  steel fence ,Executive Office Water Station,Al-Jazeera,Greater Medani Locality,"5,600",14.36724,33.50357
CERF-08,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system  7.5 Kw and  steel fence,in Al-Waha neighborhood  ,Al-Jazeera,Greater Medani Locality,"4,640",14.39855,33.53418
CERF-09,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of system for 11 KW Pump and  steel fence ,Barakat ,Al-Jazeera,Greater Medani Locality,"6,560",14.32092,33.54726
CERF-10,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of system for 11 KW Pump and  steel fence ,Mobi Elthwora Al Qadima ,Al-Jazeera,Greater Medani Locality,"5,920",14.3695,33.4813
CERF-11,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for  11 KW Pump and  steel fence,Mobi Elthwora Area Elthwora ,Al-Jazeera,Greater Medani Locality,"6,400",14.37153,33.47652
CERF-12,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for  7.5 KW Pump and  steel fence , Mobi Elthwora,Al-Jazeera,Greater Medani Locality,"5,120",14.37572,33.47628
CERF-13,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Rehabilitation for the borehole Supply delivery and installation of solar system for 7.5 KWsubmersible Pump and  steel fence , Mobi Elthwora Al-Salam Area ,Al-Jazeera,Greater Medani Locality,"5,440",14.37528,33.48333
CERF-14,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence ,  Zamalek neighborhood,Al-Jazeera,Greater Medani Locality,"5,600",14.40598,33.50175
CERF-15,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence , Dar Um Bilal,Al-Jazeera,Greater Medani Locality,"5,120",14.3318,33.54721
CERF-16,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence  , Marinjan,Al-Jazeera,Greater Medani Locality,"6,080",14.34487,33.53561
CERF-17,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence , Riyadh block 33,Al-Jazeera,Greater Medani Locality,"5,600",14.44291,33.53619
CERF-18,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence , Riyadh block 44  ,Al-Jazeera,Greater Medani Locality,"4,640",14.43704,33.52553
CERF-19,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence , Almzad ,Al-Jazeera,Greater Medani Locality,"4,960",14.38418,33.5089
CERF-20,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence , New Rayyan ,Al-Jazeera,Greater Medani Locality,"6,080",14.44675,33.56203
CERF-21,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence  ,Al dnagla ,Al-Jazeera,Greater Medani Locality,"5,760",14.34325,33.60152
CERF-22,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence  ,Al Nasser,Al-Jazeera,Greater Medani Locality,"6,240",14.32498,33.61667
CERF-23,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence  , ALTaif block  299 ,Al-Jazeera,Greater Medani Locality,"5,280",14.37451,33.5243
CERF-24,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of solar system for 7.5 KW submersible Pump and  steel fence  ,Abu Haraz village ,Al-Jazeera,Greater Medani Locality,"4,960",14.48666,33.51243
CERF-25,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 11 KW Pumpand  steel fence , Bant  village ,Al-Jazeera,Umm Al-Qura,"6,720",14.44339,33.93492
CERF-26,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 7.5 KW Pump and Supply delivery and installation of Pump7.5 kw and steel fence and supply and installation of surface pumps7.5 KW ,  Village 38 ,Al-Jazeera,Umm Al-Qura,"4,640",14.40456,33.84354
CERF-27,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 22 KW Pumpand  steel fence ,Ain Al-Lawaiqa A,Al-Jazeera,Umm Al-Qura,"8,160",14.1947,33.93533
CERF-28,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 4 KW Pumpand  steel fence ,Ain Al-Lawaiqa B,Al-Jazeera,Umm Al-Qura,"2,880",14.1716,33.93687
CERF-29,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 7.5 KW Pump and  steel fence,Umm Al-Qura Camp ,Al-Jazeera,Umm Al-Qura,"4,320",14.39316,33.78432
CERF-30,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 7.5 KW Pump and  steel fence , Transmission Line Camp ,Al-Jazeera,Umm Al-Qura,"4,480",14.39316,33.78433
CERF-31,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 7.5 KW Pump and  steel fence ,  ALwahda shraq Almusrf ,Al-Jazeera,Umm Al-Qura,"5,120",14.45601,33.9272
CERF-32,CERF,Project Name: Addressing Life Saving Access to Solar Water Provision in Madani Locality Al-Jazeera,Supply delivery and installation of Solar system for 45 KW Pump in Wad Al-Abyad Collection Basin+ Supply and installation of surface pump 45KW + Supply and installation of surface pumpsand  steel fence  22kW,Wad Al-Abyad Village Basin Collection  ,Al-Jazeera,Umm Al-Qura,"13,600",14.39317,33.78425
