fid,state_en,loc_name,loc_en,objectid,objectid_1,state,total_pop,shape_leng,locality_g,shape_le_1,shape_le_2,hrparent,hrpcode,st_area_shape_,st_length_shape_
1,Northern,حلفا,Halfa,70,70,الشمالية,33631.000000000000000,18.326413679999998,1101,18.326413679999998,18.325670040000002,SD17,SD17014,149486650386.804962158203125,2062432.022621867712587
2,Northern,دلقو,Delgo,71,71,الشمالية,42133.000000000000000,16.274357569999999,1102,16.274357569999999,16.273874380000002,SD17,SD17015,64578807386.311042785644531,1816977.793560744961724
3,Northern,البرقيق,Al Burgaig,67,67,الشمالية,87319.000000000000000,1.909914090000000,1103,1.909914090000000,1.909914090000000,SD17,SD17016,1610546625.094127178192139,215614.252102759142872
4,Northern,دنقلا,Dongola,72,72,الشمالية,150161.000000000000000,11.487394880000000,1104,11.487394869999999,11.498880199999999,SD17,SD17017,54559331986.240737915039062,1295045.245538724120706
5,Northern,القولد,Al Golid,69,69,الشمالية,79547.000000000000000,11.656603090000001,1106,11.656603090000001,11.658473230000000,SD17,SD17018,72871098529.347244262695312,1320112.977707617683336
6,Northern,مروي,Merwoe,73,73,الشمالية,157729.000000000000000,6.296146580000000,1105,6.296146580000000,6.295973950000000,SD17,SD17020,19651534886.479396820068359,725799.861493196454830
7,Northern,الدبة,Ad Dabbah,68,68,الشمالية,148545.000000000000000,9.217475329999999,1107,9.217475320000000,9.212597250000000,SD17,SD17019,49829674102.056182861328125,1041820.671557692228816
8,Red Sea,حلايب,Hala'ib,81,81,البحر الأحمر,0.000000000000000,13.216971910000002,2101,13.216971920000001,13.178789940000000,SD10,SD10066,47364611859.693168640136719,1639635.384894472081214
9,Red Sea,جبيت المعادن,Jubayt Elma'aadin,80,80,البحر الأحمر,34965.000000000000000,8.311814820000000,2102,8.311814820000000,8.311616840000001,SD10,SD10067,46679224366.237327575683594,942561.966344037326053
10,Red Sea,القنب,Al Ganab,74,74,البحر الأحمر,111813.000000000000000,12.255043310000001,2103,12.255043320000000,12.255020390000000,SD10,SD10069,79710091030.941268920898438,1413570.596699279267341
11,Red Sea,بورتسودان,Port Sudan,79,79,البحر الأحمر,399140.000000000000000,1.029744710000000,2104,1.029744710000000,1.029831480000000,SD10,SD10064,638136347.732811450958252,130383.769273001656984
36,Kassala,حلفا الجديدة,Halfa Aj Jadeedah,37,37,كسلا,211864.000000000000000,2.214142620000000,2207,2.214142620000000,2.214142620000000,SD11,SD11052,1651127299.790906906127930,253301.841248956159689
12,Red Sea,سواكن,Sawakin,76,76,البحر الأحمر,82150.000000000000000,1.974948800000000,2105,1.974948800000000,1.975421370000000,SD10,SD10068,2213490304.355746746063232,238524.716012220538687
13,Red Sea,سنكات,Sinkat,75,75,البحر الأحمر,159085.000000000000000,4.271558310000000,2106,4.271558310000000,4.271558310000000,SD10,SD10071,9026526597.792472839355469,488426.028516602236778
14,Red Sea,هيا,Haya,82,82,البحر الأحمر,105707.000000000000000,7.848428600000000,2108,7.848428600000000,7.847911560000000,SD10,SD10070,24935741698.767532348632812,893007.088049568468705
15,Red Sea,درديب,Dordieb,83,83,البحر الأحمر,66983.000000000000000,4.762089190000000,2110,4.762089190000000,4.761499470000000,SD10,SD10063,13566377627.113430023193359,538205.379056580713950
18,River Nile,البحيرة,Al Buhaira,90,90,نهر النيل,12260.000000000000000,7.849470000000000,1202,7.849470000000000,7.831833750000000,SD16,SD16014,21089016963.671627044677734,922643.676312405965291
16,Red Sea,طوكر,Tawkar,77,77,البحر الأحمر,170273.000000000000000,5.168868690000000,2107,5.168868690000000,5.168795330000000,SD10,SD10065,12618069820.938272476196289,591554.825079833855852
19,River Nile,أبو حمد,Abu Hamad,89,89,نهر النيل,48543.000000000000000,9.529461760000000,1201,9.529461760000000,9.500605240000001,SD16,SD16008,36137305927.994934082031250,1106770.024439692031592
20,River Nile,بربر,Barbar,86,86,نهر النيل,152377.000000000000000,5.873443470000000,1203,5.873443470000000,5.873419360000000,SD16,SD16013,14974945516.437713623046875,662095.639167536282912
179,North Darfur,الكومة,Al Koma,182,182,شمال دارفور,0.000000000000000,1.174115600000000,6107,1.174115600000000,1.175342050000000,SD02,SD02116,830085970.806087374687195,132295.519469042366836
17,Red Sea,عقيق,Agig,78,78,البحر الأحمر,78992.000000000000000,4.413062680000000,2109,4.413062680000000,4.413650580000000,SD10,SD10072,8387039455.615433692932129,535846.418987154494971
21,River Nile,عطبرة,Atbara,88,88,نهر النيل,134586.000000000000000,4.965254450000001,1204,4.965254450000001,4.965078900000000,SD16,SD16012,9563565145.492080688476562,560652.277405891916715
22,River Nile,الدامر,Ad Damar,84,84,نهر النيل,284148.000000000000000,9.985135049999998,1205,9.985135049999998,9.985306790000001,SD16,SD16011,40759454412.770622253417969,1129573.735640663653612
23,River Nile,المتمة,Al Matama,85,85,نهر النيل,151889.000000000000000,4.423276309999999,1206,4.423276309999999,4.423169640000000,SD16,SD16009,10166678530.465015411376953,498097.332885138224810
24,River Nile,شندي,Shendi,87,87,نهر النيل,269446.000000000000000,4.475090939999999,1207,4.475090939999999,4.474830210000000,SD16,SD16010,12937913504.685096740722656,599539.704140233108774
25,Khartoum,أمبدة,Um Bada,42,42,الخرطوم,988163.000000000000000,3.612465200000000,3101,3.612465200000000,3.613190360000000,SD01,SD01002,3776257514.239521503448486,410133.377260012319311
26,Khartoum,كرري,Karrari,45,45,الخرطوم,714079.000000000000000,2.794286360000000,3102,2.794286360000000,2.794582480000000,SD01,SD01005,3176647039.287833213806152,316915.016289067396428
27,Khartoum,بحري,Bahri,43,43,الخرطوم,608817.000000000000000,2.899907040000000,3103,2.899907030000000,2.900220410000000,SD01,SD01003,3483406120.785039901733398,328961.039063492440619
28,Khartoum,شرق النيل,Sharg An Neel,44,44,الخرطوم,868147.000000000000000,5.149889490000000,3104,5.149889490000000,5.150286630000000,SD01,SD01004,10281133002.853313446044922,581388.092827051761560
29,Khartoum,الخرطوم,Khartoum,47,47,الخرطوم,639598.000000000000000,0.637373470000000,3106,0.637373470000000,0.637373470000000,SD01,SD01007,181207376.182083398103714,72129.890185953132459
31,Khartoum,جبل أولياء,Jebel Awlia,41,41,الخرطوم,942429.000000000000000,1.169943480000000,3107,1.169943480000000,1.170096690000000,SD01,SD01001,843404808.219109773635864,132578.571623828873271
32,Kassala,ريفى همش كوريب,Reifi Hamashkureib,40,40,كسلا,255288.000000000000000,2.829102670000000,2202,2.829102670000000,2.829497130000000,SD11,SD11058,4282245720.513814926147461,297282.713642327580601
33,Kassala,ريفى شمال الدلتا,Reifi Shamal Ad Delta,34,34,كسلا,91851.000000000000000,3.345106670000000,2201,3.345106670000000,3.345424580000000,SD11,SD11057,8144356335.615377426147461,382685.458252970536705
34,Kassala,ريفى تلكوك,Reifi Telkok,35,35,كسلا,274978.000000000000000,3.128893120000000,2203,3.128893120000000,3.128843240000000,SD11,SD11059,6144040367.293179512023926,357151.819801964971703
35,Kassala,ريفى أروما,Reifi Aroma,33,33,كسلا,102759.000000000000000,4.081950350000001,2204,4.081950350000001,4.082029980000000,SD11,SD11055,6465037580.674904823303223,463656.457143815758172
37,Kassala,ريفى نهر عطبرة,Reifi Nahr Atbara,38,38,كسلا,136911.000000000000000,3.007849630000000,2205,3.007849630000000,3.007956320000000,SD11,SD11062,2585565512.857038021087646,343655.175802991259843
38,Kassala,ريفى خشم القربة,Reifi Khashm Elgirba,36,36,كسلا,98939.000000000000000,5.877291100000000,2206,5.877291100000000,5.877397700000000,SD11,SD11060,13116096711.657310485839844,665103.263465832686052
39,Kassala,ريفى كسلا,Reifi Kassla,32,32,كسلا,154630.000000000000000,3.197884590000000,2210,3.197884590000000,3.197921910000000,SD11,SD11056,3045475706.635825634002686,361402.748834809870459
40,Kassala,مدينة كسلا,Madeinat Kassala,39,39,كسلا,298529.000000000000000,0.431155240000000,2208,0.431155250000000,0.431155250000000,SD11,SD11053,143406314.855275005102158,48947.656621106834791
41,Kassala,ريفى غرب كسلا,Reifi Gharb Kassala,31,31,كسلا,79376.000000000000000,1.573573050000000,2209,1.573573050000000,1.573573050000000,SD11,SD11054,2119049300.369105577468872,178465.641723286447814
42,Kassala,ريفى ود الحليو,Reifi Wad Elhilaiw,30,30,كسلا,84681.000000000000000,2.749607400000000,2211,2.749607400000000,2.749461800000000,SD11,SD11061,5229124092.479932785034180,310330.616869276040234
43,Gedaref,البطانة,Al Butanah,189,19,القضارف,71365.000000000000000,6.237128000000000,2301,6.237128000000000,6.237204279999999,SD12,SD12073,21147051026.550731658935547,702829.747106298222207
44,Gedaref,الفشقة,Al Fashaga,22,22,القضارف,120835.000000000000000,4.076402750000000,2302,4.076402750000000,4.076051499999999,SD12,SD12075,5561557091.848806381225586,461449.986797574500088
45,Gedaref,وسط القضارف,Wasat Al Gedaref,24,24,القضارف,111669.000000000000000,4.423774910000001,2303,4.423774910000001,4.423774910000001,SD12,SD12081,10246673172.119009017944336,499588.133805646328256
46,Gedaref,مدينة القضارف,Madeinat Al Gedaref,25,25,القضارف,269395.000000000000000,0.435420280000000,2304,0.435420280000000,0.435420280000000,SD12,SD12080,126856754.573513716459274,49191.704659292590804
47,Gedaref,الفاو,Al Fao,23,23,القضارف,176662.000000000000000,1.848482860000000,2305,1.848482860000000,1.848175210000000,SD12,SD12074,2294201787.264953613281250,214557.548975117941154
137,South Darfur,نتيقة,Nitega,124,124,جنوب دارفور,266826.000000000000000,2.566663630000000,6403,2.566663630000000,2.580253670000000,SD03,SD03151,3104503903.130114555358887,260320.725167768687243
48,Gedaref,القريشة,Al Qureisha,21,21,القضارف,83394.000000000000000,2.733228080000000,2310,2.733228080000000,2.733359040000000,SD12,SD12076,3777483038.525157451629639,302310.261481954774354
49,Gedaref,القلابات الشرقية,Galabat Ash-Shargiah,26,26,القضارف,0.000000000000000,2.748586210000000,2311,2.748586200000000,2.748664090000000,SD12,SD12083,4367463183.861774444580078,307523.341172647778876
50,Gedaref,قلع النحل,Gala'a Al Nahal,20,20,القضارف,66122.000000000000000,2.958825340000000,2308,2.944221560000000,2.944221560000000,SD12,SD12079,4102656473.251534461975098,332447.075762468331959
51,Gedaref,المفازة,Al Mafaza,29,29,القضارف,0.000000000000000,1.873759710000000,2306,1.873759710000000,1.873545460000000,SD12,SD12082,1471060567.124641180038452,220198.795309821551200
55,Aj Jazirah,شرق الجزيرة,Sharg Aj Jazirah,157,157,الجزيرة,463154.000000000000000,3.517005480000000,4101,3.517005480000000,3.517225900000000,SD15,SD15033,7029224284.492245674133301,397727.311457969888579
52,Gedaref,الرهد,Ar Rahad,65,65,القضارف,0.000000000000000,3.272844930000000,5108,3.272844930000000,3.351337700000000,SD12,SD12084,2260971846.590233325958252,320333.963339951646049
53,Gedaref,باسندة,Basundah,27,27,القضارف,0.000000000000000,2.241522540000000,2312,2.241522540000000,2.241309030000000,SD12,SD12077,3954855713.411810398101807,259546.124537127441727
54,Gedaref,القلابات الغربية - كساب,Al Galabat Al Gharbyah - Kassab,18,18,القضارف,91875.000000000000000,3.749143610000000,2309,4.412968000000000,4.413011700000000,SD12,SD12078,4404958383.447607994079590,498598.994808814139105
56,Aj Jazirah,الكاملين,Al Kamlin,159,159,الجزيرة,401930.000000000000000,2.073073780000000,4102,2.073073780000000,2.073202170000000,SD15,SD15035,1970837418.636374950408936,234145.493566699849907
57,Aj Jazirah,الحصاحيصا,Al Hasahisa,158,158,الجزيرة,606389.000000000000000,4.051453100000000,4103,4.051453100000000,4.051559190000000,SD15,SD15034,4478344437.407352447509766,459240.615703807328828
58,Aj Jazirah,أم القري,Um Algura,156,156,الجزيرة,218478.000000000000000,3.078546970000000,4104,3.078546960000000,3.077757690000000,SD15,SD15032,4218347157.227390289306641,348168.447315509663895
138,South Darfur,مرشنج,Mershing,128,128,جنوب دارفور,629971.000000000000000,1.486507090000000,6405,1.486507090000000,1.486507090000000,SD03,SD03145,1204047078.788421392440796,168197.679433114331914
59,Aj Jazirah,مدني الكبري,Medani Al Kubra,154,154,الجزيرة,423863.000000000000000,1.655344400000000,4106,1.655344400000000,1.655454430000000,SD15,SD15030,629194478.529529571533203,188497.951289462565910
60,Aj Jazirah,جنوب الجزيرة,Janub Aj Jazirah,155,155,الجزيرة,555250.000000000000000,3.704752360000000,4107,3.704752360000000,3.704712900000000,SD15,SD15031,3477396873.461476325988770,419448.264864662487525
67,White Nile,قلي,Guli,115,115,النيل الأبيض,146085.000000000000000,2.533597210000000,4205,2.533597210000000,2.533597210000000,SD09,SD09052,3239436753.462019443511963,286726.008102468214929
61,Aj Jazirah,المناقل,Al Manaqil,160,160,الجزيرة,0.000000000000000,4.254619320000000,4105,4.254619320000000,4.254969080000000,SD15,SD15036,4001163226.884068965911865,481576.275525499950163
62,Aj Jazirah,القرشي,Al Qurashi,161,161,الجزيرة,0.000000000000000,2.937794900000000,4108,2.937794900000000,2.937767300000000,SD15,SD15037,3360017720.805143356323242,332422.225968140293844
72,Sennar,شرق سنار,Sharg Sennar,96,96,سنار,226643.000000000000000,2.584506140000000,4301,2.584506140000000,2.584697800000000,SD14,SD14042,3365624328.992266178131104,291456.513294529053383
63,White Nile,القطينة,Al Gitaina,109,109,النيل الأبيض,245183.000000000000000,5.000110350000000,4201,5.000110350000000,5.000076960000000,SD09,SD09050,6000580998.679520606994629,567104.422944432124496
64,White Nile,أم رمتة,Um Rimta,110,110,النيل الأبيض,118919.000000000000000,2.449434810000000,4202,2.449434810000000,2.449400060000000,SD09,SD09045,3403251294.990378856658936,277214.724025691801216
65,White Nile,الدويم,Ad Diwaim,108,108,النيل الأبيض,295695.000000000000000,3.433564980000000,4203,3.433564980000000,3.433533030000000,SD09,SD09044,6271739708.715636253356934,388577.039480766281486
66,White Nile,ربك,Rabak,112,112,النيل الأبيض,239665.000000000000000,1.753223520000000,4204,1.753223520000000,1.753350130000000,SD09,SD09046,1796863548.239928722381592,198622.477926656574709
68,White Nile,تندلتي,Tendalti,111,111,النيل الأبيض,142530.000000000000000,3.347449750000000,4206,3.347449750000000,3.347489900000000,SD09,SD09048,4635808003.852145195007324,378262.147201594372746
69,White Nile,كوستي,Kosti,114,114,النيل الأبيض,45598.000000000000000,1.983690250000000,4207,1.983690250000000,1.983690250000000,SD09,SD09047,1664424026.351353883743286,223722.742757499567233
70,White Nile,السلام / الراوات,As Salam / Ar Rawat,113,113,النيل الأبيض,106419.000000000000000,4.030497300000000,4209,4.030497310000000,4.030295120000000,SD09,SD09049,9175464834.330551147460938,453804.192225104488898
71,White Nile,الجبلين,Aj Jabalain,107,107,النيل الأبيض,117414.000000000000000,3.134727930000000,4208,3.134727930000000,3.125003270000000,SD09,SD09051,4200195059.096736431121826,351130.601276928675361
139,South Darfur,نيالا شمال,Nyala Shimal,122,122,جنوب دارفور,629971.000000000000000,2.268268420000000,6409,2.268268420000000,2.268268420000000,SD03,SD03164,3318906482.650728225708008,255765.575683270377340
73,Sennar,سنار,Sennar,94,94,سنار,293999.000000000000000,3.349208240000000,4302,3.349208250000000,3.349011760000000,SD14,SD14038,5888478767.822914123535156,378606.869755100517068
74,Sennar,الدندر,Ad Dinder,92,92,سنار,192480.000000000000000,6.183477450000000,4303,6.183477450000000,6.182792279999999,SD14,SD14040,14951771814.987030029296875,685871.788889605784789
